Disease,Age Group,Medicine Name,Male Dosage,Female Dosage,Side Effects,Max Tablets/Day,Foods to eat
Vomiting,2 year +,Granisetron,0.01-0.04 mg/kg every 12 hrs,0.01-0.04 mg/kg every 12 hrs,"Headache, Constipation	",2 doses,"Bland foods, Ginger"
Vomiting,14-17 years,Metoclopramide,10 mg three times daily,10 mg three times daily,"Drowsiness, Fatigue",30 mg,"Bland crackers, Rice"
Muscle Pain,6-12 years,Acetaminophen(Muscle pain),325-650 mg every 4-6 hours,325-650 mg every 4-6 hours,"Nausea, Rash","4,000 mg","Hydration, Dark chocolate"
Muscle Pain,12-17 years,Ibuprofen(Muscle pain),200-400 mg every 4-6 hours,200-400 mg every 4-6 hours,"Stomach pain, Dizziness","3,200 mg","Magnesium-rich foods, Almonds"
Muscle Pain,13-17 years,Naproxen(Muscle pain),220-440 mg every 8-12 hrs,220-440 mg every 8-12 hrs,"Stomach upset, Heartburn",3 doses,"Leafy greens, Nuts"
Muscle Pain,15-17 years,Aspirin(Muscle pain),325-650 mg every 4-6 hrs,325-650 mg every 4-6 hrs,"Stomach irritation, Bleeding",8 doses,"Coffee, Peppermint"
Muscle Pain,16-18 years,Cyclobenzaprine(Muscle pain),5-10 mg every 8-12 hrs,5-10 mg every 8-12 hrs,"Drowsiness, Dry mouth",3 doses,"Hydration, Light foods"
Muscle Pain,12 years +,Methocarbamol(Muscle pain),750-1500 mg every 6 hrs,750-1500 mg every 6 hrs,"Drowsiness, Dizziness",6 doses,"Hydration, Light foods"
Muscle Pain,13 years +,Diclofenac(Muscle pain),50-100 mg every 8-12 hrs,50-100 mg every 8-12 hrs,"Stomach upset, Ulcers",3 doses,"Magnesium-rich foods, Almonds"
Muscle Pain,18-60 years,Baclofen(Muscle pain),5 mg every 8 hrs,5 mg every 8 hrs,"Drowsiness, Dizziness",3 doses,"Hydration, Light foods"
Muscle Pain,20-60 years,Piroxicam(Muscle pain),200-400 mg every 12-24 hrs,200-400 mg every 12-24 hrs,"Stomach upset, Ulcers",2 doses,"Hydration, Light foods"
Muscle Pain,11-17 years,Celecoxib(Muscle pain),20 mg once daily,20 mg once daily,"Stomach upset, Ulcers",1 doses,"Hydration, Light foods"
Toothache,6-12 years,Acetaminophen(Toothache),325-650 mg every 4-6 hours,325-650 mg every 4-6 hours,"Nausea, Rash","4,000 mg","Hydration, Dark chocolate"
Toothache,2 years ,Clove Oil(Toothache),Apply small amount to affected area,Apply small amount to affected area,"Skin irritation, Allergic reactions",As directed,N/A
Toothache,3 years,Benzocaine(Toothache),Apply small amount to affected area,Apply small amount to affected area,"Skin irritation, Allergic reactions",As directed,N/A
Toothache,6-17 years,Ibuprofen(Toothache),200-400 mg every 4-6 hours,200-400 mg every 4-6 hours,"Stomach pain, Dizziness","3,200 mg","Magnesium-rich foods, Almonds"
Toothache,12-17 years ,Aspirin(Toothache),325-650 mg every 4-6 hrs,325-650 mg every 4-6 hrs,"Stomach irritation, Bleeding",8 doses,"Coffee, Peppermint"
Toothache,13-17 years ,Naproxen(Toothache),220-440 mg every 8-12 hrs,220-440 mg every 8-12 hrs,"Stomach upset, Heartburn",3 doses,"Leafy greens, Nuts"
Toothache,14-17 years ,Lidocaine(Toothache),Apply small amount to affected ,Apply small amount to affected area,"Skin irritation, Allergic reactions",As directed,N/A
Toothache,15-60 years,Hydrocodone(Toothache),5-10 mg every 4-6 hrs,5-10 mg every 4-6 hrs,"Drowsiness, Nausea",6 doses,"Hydration, Light foods"
Toothache,16-60 years,Oxycodone(Toothache),5-10 mg every 4-6 hrs,5-10 mg every 4-6 hrs,"Drowsiness, Nausea",6 doses,"Hydration, Light foods"
Toothache,18-60 years,Codeine(Toothache),5-10 mg every 4-6 hrs,5-10 mg every 4-6 hrs,"Constipation, Drowsiness",4 doses,"Warm water, Herbal tea"
Stomach Pain,2 year +,Simethicone,125 mg as needed,125 mg as needed,No common side effects,4 doses,"Bland foods, Ginger tea"
Stomach Pain,6-12 years,Omeprazole,10-20 mg once daily,10-20 mg once daily,"Headache, Abdominal pain",20 mg,"Light foods, Herbal teas"
Stomach Pain,13-17 years,Ranitidine,75-150 mg twice daily,75-150 mg twice daily,"Diarrhea, Headache",300 mg,"Soft foods, Avoid spicy foods"
Stomach Pain,14-17 years,Famotidine,20 mg every 12 hrs,20 mg every 12 hrs,"Headache, Constipation",2 doses,"Light foods, Herbal teas"
Stomach Pain,18-60 years ,"Pantoprazole	",40 mg once daily,40 mg once daily,Diarrhea,1 doses,"Soft foods, Avoid spicy foods"
Stomach Pain,7-12 years,Loperamide,"4 mg after first loose stool, then 2 mg after each subsequent loose stool, not to exceed 16 mg in any 24-hour period","4 mg after first loose stool, then 2 mg after each subsequent loose stool, not to exceed 16 mg in any 24-hour period","Constipation, Drowsiness",16 mg/day,"Clear liquids, Bananas	"
Stomach Pain,14-17 years ,Bismuth subsalicylate,"524 mg every 30-60 minutes as needed, not to exceed 8 doses in 24 hours","524 mg every 30-60 minutes as needed, not to exceed 8 doses in 24 hours","Dark stools, Constipation",8 doses,"Clear liquids, Bland foods"
Stomach Pain,1-2 years,Dicyclomine,10-20 mg every 6-8 hrs,10-20 mg every 6-8 hrs,"Drowsiness, Dizziness",3 doses,"Bland foods, Herbal teas"
Stomach Pain,8-13 years ,Peppermint Oil,187-225 mg 2-3 times daily,187-225 mg 2-3 times daily,"Heartburn, Allergic reactions",3 doses,"Bland foods, Ginger tea"
Stomach Pain,2-6 years ,Laxatives,"Dosage varies by type, follow package instructions","Dosage varies by type, follow package instructions","Abdominal cramps, Diarrhea",As directed,"Clear liquids, High-fiber foods"
Back Pain,12-60 years,Tramadol,50-100 mg every 4-6 hrs,50-100 mg every 4-6 hrs,"Nausea, Drowsiness",400 mg,"Anti-inflammatory foods: berries, fatty fish, nuts"
Back Pain,13-60 years,Baclofen(Backpain),5-10 mg 3 times a day,5-10 mg 3 times a day,"Drowsiness, Muscle weakness",80 mg,"Anti-inflammatory foods: berries, fatty fish, nuts"
Back Pain,14-60 years,Tizanidine,2-4 mg 3 times a day,2-4 mg 3 times a day,"Drowsiness, Dry mouth",36 mg,"Anti-inflammatory foods: berries, fatty fish, nuts"
Back Pain,15-60 years,Celecoxib,200 mg once daily,200 mg once daily,"Stomach pain, Dizziness",400 mg,"Anti-inflammatory foods: berries, fatty fish, nuts"
Back Pain,18-60 years,Diclofenac,50 mg every 8 hrs,50 mg every 8 hrs,"Stomach pain, Dizziness",150 mg,"Anti-inflammatory foods: berries, fatty fish, nuts"
